Donor,Location Name,FID of the park,Zone,Location latitude,Location longitude,Unique ID of the Percolation well,Percolation well latitude,Percolation well longitude
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS69,13.10032,77.576
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS70,13.09971,77.57624
Morgan Stanley,Kittoor Rani Chennamma Park,,Yelahanka Zone,,,MS71,13.10047,77.57614
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS28,13.10084,77.57302
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS29,13.10079,77.57276
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS30,13.10078,77.57265
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS31,13.10082,77.57256
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS32,13.10081,77.57243
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS33,13.10069,77.57159
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS34,13.10053,77.57145
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS36,13.10041,77.57118
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS37,13.09992,77.57118
Morgan Stanley,Sardar Vallabhai Patel (SFS 208) Park,,Yelahanka Zone,,,MS38,13.10047,77.57253
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS42,13.09891,77.57165
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS43,13.09924,77.5718
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS47,13.09945,77.5719
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS48,13.0995,77.57204
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS50,13.09972,77.57218
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS51,13.09969,77.57229
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS53,13.09957,77.5724
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS55,13.09962,77.57225
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS80,13.09946,77.57284
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS81,13.09966,77.57296
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS82,13.09984,77.57299
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS83,13.09979,77.57294
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS84,13.09978,77.5728
Morgan Stanley,B.M Shrikantaiah Park,,Yelahanka Zone,,,MS85,13.09963,77.57276
